username,tweet_date,tweet_text,tweet_link,media_exists
@YsfXayb,"Jun 29, 2023 · 11:49 PM UTC",En vrai y joue bien RP on peut pas lui reprocher  #emeutes,https://twitter.com/YsfXayb/status/1674565799606992896?s=20,True
@STOCKAHOLIC55,"Jun 28, 2023 · 11:58 PM UTC","$ODYY news out again!   Lots of promise here imo!  prweb.com/releases/2023/06/p…
$DVLP $CEOS $TSLA $MRNA $TRKA $AHI $AMZN $LCID $NERV $DUO $WAVE $OPEN $CNTG $KSCP $SOUN $EVLO $AMZN #TheErasTour #gistlover #emeutes #GlazersOut #triedyou #earthquake #NHLDraft #TrumpTape #Biden #bitcoin",https://twitter.com/STOCKAHOLIC55/status/1674205660081266688?s=20,False
@CerfiaFR,"Jun 29, 2023 · 11:48 PM UTC","🇫🇷 FLASH | Un homme déguisé en Spider-Man a été aperçu parmi les émeutiers à #Cergy.
#émeutes",https://twitter.com/CerfiaFR/status/1674565503321530368?s=20,True
@Yastamyaci,"Jun 29, 2023 · 11:42 PM UTC",Ahhahaha guettez le mec en moto je rêve ou il trimballe un corps ?? #emeutes,https://twitter.com/Yastamyaci/status/1674564012254560256?s=20,True
@infos_Covid_,"Jun 29, 2023 · 11:53 PM UTC",🚨🇫🇷 Flash | Braquage de bus #emeutes,https://twitter.com/infos_Covid_/status/1674566846081642497?s=20,True
@Sueyda03,"Jun 29, 2023 · 11:38 PM UTC",Le macdo d’evry wsh pk faire 🤣🤣🤣🤣 #emeutes,https://twitter.com/Sueyda03/status/1674563055844196356?s=20,True
@CerfiaFR,"Jun 29, 2023 · 11:45 PM UTC",🚨🇫🇷 FLASH | Un incendie serait en cours juste à côté des travaux pour les #JO2024 à #Aubervilliers. #émeutes,https://twitter.com/CerfiaFR/status/1674564889350742016?s=20,True
@Capsko_,"Jun 29, 2023 · 11:51 PM UTC",Je pense qu’on a déniché la vidéo de cette nuit #emeutes,https://twitter.com/Capsko_/status/1674566282790699008?s=20,True
@Laawnik,"Jun 29, 2023 · 11:45 PM UTC","Le douzième arrondissement de Paris s’embrase, ici avenue Daumesnil.

#Émeutes",https://twitter.com/Laawnik/status/1674564882497142789?s=20,True
@stephyves225,"Jun 29, 2023 · 11:55 PM UTC",L’anarchie est totale #emeutes,https://twitter.com/stephyves225/status/1674567294150754304?s=20,True
@CerfiaFR,"Jun 29, 2023 · 11:59 PM UTC",🚨🇫🇷 FLASH | Un commissariat de #Seclin (59) a été incendié. #émeutes,https://twitter.com/CerfiaFR/status/1674568227345559554?s=20,True
@tr_kkh,"Jun 29, 2023 · 11:52 PM UTC","Bus, car, poids lourd, tracteur on a rien dit mtn un bateaux ?ptdrrr  #emeutes",https://twitter.com/tr_kkh/status/1674566512986734594?s=20,True
@K2n_dv,"Jun 29, 2023 · 11:45 PM UTC",Y'A DU JUUUUUUS #emeutes,https://twitter.com/K2n_dv/status/1674564870304415744?s=20,True
@Thickums334,"Jun 29, 2023 · 11:54 PM UTC",I turn you onnnn ? #emeutes #FiveNightsAtFreddys #JungKook #JungKook_Seven #SpeakNowTaylorsVersion #thursdayvibes,https://twitter.com/Thickums334/status/1674566993574281216?s=20,True
@ChaRocher,"Jun 29, 2023 · 11:51 PM UTC",Imaginez que tous les parents des gamins qui brûlent nos quartiers aient fait comme ce monsieur qui ramène sont fils par les oreilles alors qu’il participait aux #emeutes. Fan de ce père ! Où sont les parents de tous les autres gosses ?,https://twitter.com/ChaRocher/status/1674566243343298561?s=20,True
@nassydi93,"Jun 29, 2023 · 11:47 PM UTC","Pont Blanc…
#aubervilliers #emeutes",https://twitter.com/nassydi93/status/1674565229919760385?s=20,True
@Yanis_jr93,"Jun 29, 2023 · 11:50 PM UTC",Ahahhaha Masterclass #emeutes,https://twitter.com/Yanis_jr93/status/1674566134815752196?s=20,True
@zinedinho69,"Jun 29, 2023 · 11:49 PM UTC","550k de tweet sur #emeutes ??? 
les twittos actuellement :",https://twitter.com/zinedinho69/status/1674565791872688130?s=20,True
@jat_ramjilal4,"Jun 29, 2023 · 11:55 PM UTC","प्रातः वंदन 🌺
माता रानी की कृपा से आपका दिन शुभ और कल्याणकारी हो 🌹
#जय_माँ_अम्बे 
#जयतुसनातन 
#हिन्दुराष्ट्र 
#emeutes 
#deprem 
राम राम जी 🙏",https://twitter.com/jat_ramjilal4/status/1674567332713336832?s=20,False
@AalayLoualiche,"Jun 29, 2023 · 11:57 PM UTC",#emeutes c'est l'apocalypse a Aubervilliers dans tout les quartiers les forces de l'ordre complètement débordé.,https://twitter.com/AalayLoualiche/status/1674567740663689221?s=20,True
